sector_id,district,sector_name,proxy_class,proxy_score,scenario,scenario_score,scenario_class,class_changed_from_base
RWA.5.3.1_1,Nyarugenge,Gitega,High,0.5243010335503896,base,0.5243010335503896,High,False
RWA.1.4.13_1,Musanze,Remera,High,0.5231253843006046,base,0.5231253843006046,High,False
RWA.1.4.4_1,Musanze,Gashaki,High,0.5175642990632866,base,0.5175642990632866,High,False
RWA.1.4.14_1,Musanze,Rwaza,High,0.5095302654508534,base,0.5095302654508534,High,False
RWA.5.1.3_1,Gasabo,Gikomero,High,0.49089364144473474,base,0.49089364144473474,High,False
RWA.5.1.15_1,Gasabo,Rutunga,High,0.490130162366322,base,0.490130162366322,High,False
RWA.1.4.3_1,Musanze,Gacaca,High,0.46298713868403363,base,0.46298713868403363,High,False
RWA.1.4.15_1,Musanze,Shingiro,High,0.46257050938064925,base,0.46257050938064925,High,False
RWA.1.4.7_1,Musanze,Kinigi,High,0.44145436298151364,base,0.44145436298151364,High,False
RWA.5.3.4_1,Nyarugenge,Kimisagara,High,0.44058043535413577,base,0.44058043535413577,High,False
RWA.5.3.10_1,Nyarugenge,Rwezamenyo,High,0.40173332596370503,base,0.40173332596370503,High,False
RWA.1.4.11_1,Musanze,Nkotsi,High,0.3880988555860776,base,0.3880988555860776,High,False
RWA.1.4.5_1,Musanze,Gataraga,High,0.3836754690230567,base,0.3836754690230567,High,False
RWA.1.4.9_1,Musanze,Muko,High,0.3818568531108455,base,0.3818568531108455,High,False
RWA.1.4.12_1,Musanze,Nyange,High,0.362824706885707,base,0.362824706885707,High,False
RWA.5.3.7_1,Nyarugenge,Nyakabanda,High,0.35331795744542527,base,0.35331795744542527,High,False
RWA.1.4.10_1,Musanze,Musanze,High,0.34720882605716896,base,0.34720882605716896,High,False
RWA.5.3.2_1,Nyarugenge,Kanyinya,Medium,0.3272753144539934,base,0.3272753144539934,Medium,False
RWA.5.1.6_1,Gasabo,Jali,Medium,0.31834992492751696,base,0.31834992492751696,Medium,False
RWA.5.1.12_1,Gasabo,Nduba,Medium,0.30909244642951816,base,0.30909244642951816,Medium,False
RWA.5.1.4_1,Gasabo,Gisozi,Medium,0.3067380051896409,base,0.3067380051896409,Medium,False
RWA.1.4.2_1,Musanze,Cyuve,Medium,0.2903992812044433,base,0.2903992812044433,Medium,False
RWA.5.1.5_1,Gasabo,Jabana,Medium,0.28825462925746986,base,0.28825462925746986,Medium,False
RWA.5.3.5_1,Nyarugenge,Mageregere,Medium,0.2800841808447797,base,0.2800841808447797,Medium,False
RWA.5.1.2_1,Gasabo,Gatsata,Medium,0.2784616817960349,base,0.2784616817960349,Medium,False
RWA.5.1.14_1,Gasabo,Rusororo,Medium,0.27684790573345996,base,0.27684790573345996,Medium,False
RWA.1.4.1_1,Musanze,Busogo,Medium,0.2735898572497749,base,0.2735898572497749,Medium,False
RWA.5.3.6_1,Nyarugenge,Muhima,Medium,0.26420442470245775,base,0.26420442470245775,Medium,False
RWA.1.4.6_1,Musanze,Kimonyi,Medium,0.25884499187000465,base,0.25884499187000465,Medium,False
RWA.5.2.7_1,Kicukiro,Kigarama,Medium,0.25551886629620063,base,0.25551886629620063,Medium,False
RWA.5.3.3_1,Nyarugenge,Kigali,Medium,0.2544570041276887,base,0.2544570041276887,Medium,False
RWA.1.4.8_1,Musanze,Muhoza,Medium,0.2429318962460824,base,0.2429318962460824,Medium,False
RWA.5.2.6_1,Kicukiro,Kicukiro,Medium,0.24175200705792843,base,0.24175200705792843,Medium,False
RWA.5.3.8_1,Nyarugenge,Nyamirambo,Low,0.24058792568919085,base,0.24058792568919085,Low,False
RWA.5.1.9_1,Gasabo,Kimironko,Low,0.23562464041018547,base,0.23562464041018547,Low,False
RWA.5.1.7_1,Gasabo,Kacyiru,Low,0.23291205539745338,base,0.23291205539745338,Low,False
RWA.5.1.13_1,Gasabo,Remera,Low,0.23192378912384953,base,0.23192378912384953,Low,False
RWA.5.1.10_1,Gasabo,Kinyinya,Low,0.2314513902420026,base,0.2314513902420026,Low,False
RWA.5.2.3_1,Kicukiro,Gikondo,Low,0.2221388923913258,base,0.2221388923913258,Low,False
RWA.5.1.11_1,Gasabo,Ndera,Low,0.21887361587882714,base,0.21887361587882714,Low,False
RWA.5.2.2_1,Kicukiro,Gatenga,Low,0.2156375855440717,base,0.2156375855440717,Low,False
RWA.5.1.1_1,Gasabo,Bumbogo,Low,0.2149336613869248,base,0.2149336613869248,Low,False
RWA.5.2.9_1,Kicukiro,Niboye,Low,0.2128357883315653,base,0.2128357883315653,Low,False
RWA.5.1.8_1,Gasabo,Kimihurura,Low,0.19456826773112207,base,0.19456826773112207,Low,False
RWA.5.3.9_1,Nyarugenge,Nyarugenge,Low,0.18600842814680388,base,0.18600842814680388,Low,False
RWA.5.2.10_1,Kicukiro,Nyarugunga,Low,0.17154236095089778,base,0.17154236095089778,Low,False
RWA.5.2.5_1,Kicukiro,Kanombe,Low,0.17032632444114348,base,0.17032632444114348,Low,False
RWA.5.2.4_1,Kicukiro,Kagarama,Low,0.1610311820554308,base,0.1610311820554308,Low,False
RWA.5.2.8_1,Kicukiro,Masaka,Low,0.15797120877606674,base,0.15797120877606674,Low,False
RWA.5.2.1_1,Kicukiro,Gahanga,Low,0.1503736702268057,base,0.1503736702268057,Low,False
RWA.5.3.1_1,Nyarugenge,Gitega,High,0.5243010335503896,density_heavy,0.6745806201302338,High,False
RWA.1.4.13_1,Musanze,Remera,High,0.5231253843006046,density_heavy,0.3591650741568069,High,False
RWA.1.4.4_1,Musanze,Gashaki,High,0.5175642990632866,density_heavy,0.35082344630082973,High,False
